version,published_at_utc,days_since_today,latest_duration_hours,obsidian_manifest_downloads,github_manifest_download_count,github_mainjs_download_count,github_stylescss_download_count,downloads_per_day
1.1.49,2026-07-29T15:57:32Z,15,380.04,63,64,39,37,3.98
1.1.48,2026-07-08T02:36:23Z,37,517.35,117,117,46,38,5.43
1.1.47,2026-07-07T16:00:42Z,37,10.59,27,27,7,6,61.16
1.1.46,2026-06-12T08:12:35Z,63,607.8,124,124,77,39,4.9
1.1.45,2026-06-04T00:53:24Z,71,199.32,56,,,,6.74
1.1.44,2026-05-21T08:08:54Z,85,328.74,82,82,54,49,5.99
1.1.43,2026-05-20T07:49:32Z,86,24.32,33,,,,32.56
1.1.42,2026-05-20T01:57:44Z,86,5.86,29,,,,118.7
1.1.41,2026-05-20T01:48:57Z,86,0.15,21,,,,
1.1.40,2026-05-20T00:51:29Z,86,0.96,24,,,,
1.1.39,2026-05-19T15:08:39Z,86,9.71,20,,,,49.41
1.1.38,2026-05-19T14:55:48Z,86,0.21,2,,,,
1.1.37,2026-05-18T07:05:08Z,88,31.84,16,,,,12.06
1.1.36,2026-05-18T03:19:54Z,88,3.75,7,,,,44.75
1.1.35,2026-05-17T16:45:37Z,88,10.57,10,,,,22.7
1.1.34,2026-05-17T16:34:40Z,88,0.18,1,,,,
1.1.33,2026-05-17T16:04:39Z,88,0.5,2,,,,
1.1.32,2026-05-17T12:18:04Z,88,3.78,4,,,,25.42
1.1.31,2026-05-17T06:23:19Z,89,5.91,5,,,,20.3
1.1.30,2026-05-15T17:28:50Z,90,36.91,8,,,,5.2
1.1.29,2026-05-15T17:15:06Z,90,0.23,4,,,,
1.1.28,2026-05-15T16:35:17Z,90,0.66,3,,,,
1.1.27,2026-05-15T15:53:33Z,90,0.7,2,,,,
1.1.26,2026-05-15T15:49:56Z,90,0.06,1,,,,
1.1.25,2026-05-15T15:08:31Z,90,0.69,3,,,,
1.1.24,2026-05-15T14:40:35Z,90,0.47,2,,,,
1.1.23,2026-05-15T14:30:10Z,90,0.17,2,,,,
1.1.22,2026-05-15T12:33:26Z,90,1.95,4,,,,
1.1.21,2026-05-15T11:08:25Z,91,1.42,2,,,,
1.1.20,2026-05-15T10:44:33Z,91,0.4,2,,,,
1.1.19,2026-05-15T10:34:21Z,91,0.17,1,,,,
1.1.18,2026-05-15T10:21:05Z,91,0.22,1,,,,
1.1.17,2026-05-15T10:15:37Z,91,0.09,,,,,
1.1.16,2026-05-15T09:09:54Z,91,1.1,1,,,,
1.1.15,2026-05-15T03:52:34Z,91,5.29,,,,,
1.1.14,2026-05-14T08:24:41Z,92,19.46,6,,,,7.4
1.1.13,2026-05-13T02:54:06Z,93,29.51,3,,,,2.44
1.1.12,2026-05-08T08:30:39Z,98,114.39,10,,,,2.1
1.1.10,2026-04-02T01:37:46Z,134,870.88,75,91,27,24,2.07
1.1.9,2026-04-01T11:27:25Z,135,14.17,9,,,,15.24
1.1.8,2026-04-01T11:00:16Z,135,0.45,,,,,
1.1.7,2026-04-01T07:41:36Z,135,3.31,1,,,,7.25
1.1.6,2026-04-01T07:04:29Z,135,0.62,6,,,,
1.1.5,2026-04-01T02:20:34Z,135,4.73,2,,,,10.14
1.1.4,2026-04-01T01:15:49Z,135,1.08,,,,,
1.1.3,2026-03-31T14:28:55Z,135,10.78,1,,,,2.23
1.1.2,2026-03-30T12:19:18Z,136,26.16,11,,,,10.09
1.1.1,2026-03-30T03:34:24Z,137,8.75,5,,,,13.72
1.1.0,2026-03-28T02:28:52Z,139,49.09,18,,,,8.8
1.0.0,2026-03-10T11:01:19Z,157,423.46,1,,,,0.06
